"keys","pt","en","es","fr","de","it","ru","ja","zh"
"Bem-vindo de volta!","Bem-vindo de volta!","Welcome back!","¡Bienvenido de nuevo!","Bon retour !","Willkommen zurück!","Bentornato!","С возвращением!","おかえりなさい！","欢迎回来！"
"Recolher","Recolher","Collect","Recoger","Récolter","Einsammeln","Raccogli","Забрать","受け取る","领取"
"Recolher em DOBRO (anúncio)","Recolher em DOBRO (anúncio)","Collect DOUBLE (ad)","Recoger DOBLE (anuncio)","Récolter en DOUBLE (pub)","DOPPELT einsammeln (Werbung)","Raccogli il DOPPIO (annuncio)","Забрать ВДВОЙНЕ (реклама)","2倍で受け取る（広告）","双倍领取（广告）"
"Completa missões para ganhar créditos e gemas bónus.","Completa missões para ganhar créditos e gemas bónus.","Complete missions to earn bonus credits and gems.","Completa misiones para ganar créditos y gemas extra.","Complétez des missions pour gagner des crédits et gemmes bonus.","Erfülle Missionen für Bonus-Credits und Edelsteine.","Completa le missioni per ottenere crediti e gemme bonus.","Выполняй задания, чтобы получить кредиты и бонусные гемы.","ミッションをクリアしてクレジットとボーナスジェムを獲得。","完成任务可赚取额外信用点和宝石。"
"REIVINDICAR","REIVINDICAR","CLAIM","RECLAMAR","RÉCLAMER","EINFORDERN","RISCUOTI","ЗАБРАТЬ","受け取る","领取"
"Recebido","Recebido","Received","Recibido","Reçu","Erhalten","Ricevuto","Получено","受取済み","已领取"
"Em curso","Em curso","In progress","En curso","En cours","Läuft","In corso","В процессе","進行中","进行中"
"TODAS","TODAS","ALL","TODAS","TOUTES","ALLE","TUTTE","ВСЕ","すべて","全部"
"Todas as cidades estão abertas.","Todas as cidades estão abertas.","All cities are open.","Todas las ciudades están abiertas.","Toutes les villes sont ouvertes.","Alle Städte sind offen.","Tutte le città sono aperte.","Все города открыты.","すべての都市が開放済み。","所有城市均已开设。"
"FIM","FIM","END","FIN","FIN","ENDE","FINE","КОНЕЦ","完","完"
"Chegaste ao último país. Parabéns!","Chegaste ao último país. Parabéns!","You've reached the last country. Congrats!","Has llegado al último país. ¡Enhorabuena!","Vous avez atteint le dernier pays. Félicitations !","Du hast das letzte Land erreicht. Glückwunsch!","Hai raggiunto l'ultimo paese. Complimenti!","Ты достиг последней страны. Поздравляем!","最後の国に到達。おめでとう！","你已到达最后一个国家。恭喜！"
"Bloqueado","Bloqueado","Locked","Bloqueado","Verrouillé","Gesperrt","Bloccato","Заблокировано","ロック中","已锁定"
"Prestige (requer 5.º país)","Prestige (requer 5.º país)","Prestige (requires 5th country)","Prestigio (requiere 5.º país)","Prestige (requiert le 5e pays)","Prestige (erfordert 5. Land)","Prestigio (richiede il 5º paese)","Престиж (нужна 5-я страна)","プレステージ（5番目の国が必要）","转生（需第5个国家）"
"Cidade desbloqueada!","Cidade desbloqueada!","City unlocked!","¡Ciudad desbloqueada!","Ville débloquée !","Stadt freigeschaltet!","Città sbloccata!","Город разблокирован!","都市を解放！","城市已解锁！"
"🏆 MISSÃO COMPLETA! Conquistaste o mundo!","🏆 MISSÃO COMPLETA! Conquistaste o mundo!","🏆 MISSION COMPLETE! You conquered the world!","🏆 ¡MISIÓN COMPLETA! ¡Has conquistado el mundo!","🏆 MISSION ACCOMPLIE ! Vous avez conquis le monde !","🏆 MISSION ERFÜLLT! Du hast die Welt erobert!","🏆 MISSIONE COMPLETA! Hai conquistato il mondo!","🏆 ЗАДАНИЕ ВЫПОЛНЕНО! Ты покорил мир!","🏆 ミッション達成！世界を制覇した！","🏆 任务完成！你征服了世界！"
"PRESTIGE! Bem-vindo ao recomeço!","PRESTIGE! Bem-vindo ao recomeço!","PRESTIGE! Welcome to your fresh start!","¡PRESTIGIO! ¡Bienvenido a tu nuevo comienzo!","PRESTIGE ! Bienvenue dans votre nouveau départ !","PRESTIGE! Willkommen zum Neustart!","PRESTIGIO! Benvenuto al nuovo inizio!","ПРЕСТИЖ! Добро пожаловать в новое начало!","プレステージ！新たなスタートへようこそ！","转生！欢迎全新开始！"
"Receber Recompensa!","Receber Recompensa!","Claim Reward!","¡Reclamar recompensa!","Réclamer la récompense !","Belohnung holen!","Riscuoti Ricompensa!","Забрать награду!","報酬を受け取る！","领取奖励！"
"Missão concluída! Recompensa recebida","Missão concluída! Recompensa recebida","Mission complete! Reward received","¡Misión completada! Recompensa recibida","Mission terminée ! Récompense reçue","Mission erfüllt! Belohnung erhalten","Missione completata! Ricompensa ricevuta","Задание выполнено! Награда получена","ミッション達成！報酬を受け取りました","任务完成！奖励已领取"
"Recompensa a DOBRAR!","Recompensa a DOBRAR!","Reward DOUBLING!","¡Recompensa DUPLICADA!","Récompense DOUBLÉE !","Belohnung wird VERDOPPELT!","Ricompensa RADDOPPIATA!","Награда УДВАИВАЕТСЯ!","報酬が2倍に！","奖励翻倍！"
"Missão substituída!","Missão substituída!","Mission swapped!","¡Misión cambiada!","Mission remplacée !","Mission getauscht!","Missione sostituita!","Задание заменено!","ミッションを交換しました！","任务已更换！"
"Já recebeste a recompensa de hoje!","Já recebeste a recompensa de hoje!","You've already claimed today's reward!","¡Ya has reclamado la recompensa de hoy!","Vous avez déjà réclamé la récompense du jour !","Du hast die heutige Belohnung schon erhalten!","Hai già riscosso la ricompensa di oggi!","Ты уже забрал сегодняшнюю награду!","本日の報酬は受け取り済みです！","今天的奖励已领取！"
"Influência ganha-se ao expandir países.
Gasta-a em bónus válidos até ao próximo Prestige.","Influência ganha-se ao expandir países.
Gasta-a em bónus válidos até ao próximo Prestige.","Influence is earned by expanding countries.
Spend it on bonuses valid until your next Prestige.","La influencia se gana al expandir países.
Gástala en bonificaciones válidas hasta el próximo Prestigio.","L'influence se gagne en étendant les pays.
Dépensez-la en bonus valables jusqu'au prochain Prestige.","Einfluss verdienst du durch Länder-Erweiterung.
Gib ihn für Boni bis zum nächsten Prestige aus.","L'influenza si guadagna espandendo i paesi.
Spendila in bonus validi fino al prossimo Prestigio.","Влияние даётся за расширение стран.
Трать его на бонусы до следующего престижа.","影響力は国を拡大して獲得。
次のプレステージまで有効なボーナスに使えます。","扩张国家可获得影响力。
用它购买有效至下次转生的加成。"
"Sistema de Prestige","Sistema de Prestige","Prestige System","Sistema de Prestigio","Système de Prestige","Prestige-System","Sistema di Prestigio","Система престижа","プレステージシステム","转生系统"
"Reinicia com multiplicador permanente.
Requer 5.º país desbloqueado.","Reinicia com multiplicador permanente.
Requer 5.º país desbloqueado.","Resets with a permanent multiplier.
Requires the 5th country unlocked.","Reinicia con multiplicador permanente.
Requiere el 5.º país desbloqueado.","Réinitialise avec un multiplicateur permanent.
Requiert le 5e pays débloqué.","Neustart mit dauerhaftem Multiplikator.
Erfordert 5. Land freigeschaltet.","Riparti con moltiplicatore permanente.
Richiede il 5º paese sbloccato.","Перезапуск с постоянным множителем.
Нужна разблокированная 5-я страна.","永続倍率でリスタート。
5番目の国の解放が必要。","重置并获得永久乘数。
需解锁第5个国家。"
"Gemas de Prestígio:","Gemas de Prestígio:","Prestige Gems:","Gemas de Prestigio:","Gemmes de Prestige :","Prestige-Edelsteine:","Gemme di Prestigio:","Гемы престижа:","プレステージジェム：","转生宝石："
"Conquista secreta.","Conquista secreta.","Secret achievement.","Logro secreto.","Succès secret.","Geheimer Erfolg.","Obiettivo segreto.","Секретное достижение.","シークレット実績。","隐藏成就。"
"Gemas — ganha com anúncios (acima)","Gemas — ganha com anúncios (acima)","Gems — earn via ads (above)","Gemas — gana con anuncios (arriba)","Gemmes — gagnez-en avec des pubs (ci-dessus)","Edelsteine — durch Werbung (oben)","Gemme — ottienile con gli annunci (sopra)","Гемы — за рекламу (выше)","ジェム — 広告で獲得（上記）","宝石——通过广告获得（上方）"
"Recompensa Diária","Recompensa Diária","Daily Reward","Recompensa diaria","Récompense quotidienne","Tägliche Belohnung","Ricompensa Giornaliera","Ежедневная награда","デイリー報酬","每日奖励"
"Faz login todos os dias para ganhar gemas e bónus!","Faz login todos os dias para ganhar gemas e bónus!","Log in every day to earn gems and bonuses!","¡Entra cada día para ganar gemas y bonificaciones!","Connectez-vous chaque jour pour gagner gemmes et bonus !","Melde dich täglich an für Edelsteine und Boni!","Accedi ogni giorno per ottenere gemme e bonus!","Заходи каждый день, чтобы получать гемы и бонусы!","毎日ログインしてジェムとボーナスを獲得！","每天登录，赚取宝石和加成！"
"SEDE","SEDE","HQ","SEDE","QG","HQ","QG","ШТАБ","本部","总部"
"Música: Eric Matyas · soundimage.org","Música: Eric Matyas · soundimage.org","Music: Eric Matyas · soundimage.org","Música: Eric Matyas · soundimage.org","Musique : Eric Matyas · soundimage.org","Musik: Eric Matyas · soundimage.org","Musica: Eric Matyas · soundimage.org","Музыка: Eric Matyas · soundimage.org","音楽：Eric Matyas · soundimage.org","音乐：Eric Matyas · soundimage.org"
"Apaga TODO o progresso: créditos, drones, países, prestige e conquistas.
Não pode ser desfeito.","Apaga TODO o progresso: créditos, drones, países, prestige e conquistas.
Não pode ser desfeito.","Deletes ALL progress: credits, drones, countries, prestige and achievements.
This cannot be undone.","Borra TODO el progreso: créditos, drones, países, prestigio y logros.
No se puede deshacer.","Efface TOUTE la progression : crédits, drones, pays, prestige et succès.
Cela ne peut pas être annulé.","Löscht ALLEN Fortschritt: Credits, Drohnen, Länder, Prestige und Erfolge.
Nicht rückgängig zu machen.","Cancella TUTTI i progressi: crediti, droni, paesi, prestigio e obiettivi.
Non può essere annullato.","Удаляет ВЕСЬ прогресс: кредиты, дронов, страны, престиж и достижения.
Это нельзя отменить.","すべての進行状況を削除：クレジット、ドローン、国、プレステージ、実績。
元に戻せません。","删除全部进度：信用点、无人机、国家、转生和成就。
无法撤销。"
"30min grátis","30min grátis","30min free","30min gratis","30min gratuites","30 Min gratis","30min gratis","30 мин бесплатно","30分無料","30分钟免费"
"+60 Gemas","+60 Gemas","+60 Gems","+60 Gemas","+60 Gemmes","+60 Edelsteine","+60 Gemme","+60 гемов","+60 ジェム","+60 宝石"
"+30min de lucros!","+30min de lucros!","+30min of profits!","¡+30min de ganancias!","+30min de profits !","+30 Min Gewinn!","+30min di profitti!","+30 мин прибыли!","+30分の利益！","+30分钟利润！"
"+60 Gemas!","+60 Gemas!","+60 Gems!","¡+60 Gemas!","+60 Gemmes !","+60 Edelsteine!","+60 Gemme!","+60 гемов!","+60 ジェム！","+60 宝石！"
"Máx","Máx","Max","Máx","Max","Max","Max","Макс","最大","最大"
"MÁX","MÁX","MAX","MÁX","MAX","MAX","MAX","МАКС","最大","最大"
"Idioma / Language","Idioma / Language","Idioma / Language","Idioma / Language","Idioma / Language","Idioma / Language","Idioma / Language","Idioma / Language","言語 / Language","语言 / Language"
"Nv %d · %s (%s)","Nv %d · %s (%s)","Lv %d · %s (%s)","Nv %d · %s (%s)","Nv %d · %s (%s)","Stufe %d · %s (%s)","Liv %d · %s (%s)","Ур. %d · %s (%s)","Lv %d · %s（%s）","Lv %d · %s（%s）"
"Nv 0 · %s","Nv 0 · %s","Lv 0 · %s","Nv 0 · %s","Nv 0 · %s","Stufe 0 · %s","Liv 0 · %s","Ур. 0 · %s","Lv 0 · %s","Lv 0 · %s"
"Nv %d/%d · %s","Nv %d/%d · %s","Lv %d/%d · %s","Nv %d/%d · %s","Nv %d/%d · %s","Stufe %d/%d · %s","Liv %d/%d · %s","Ур. %d/%d · %s","Lv %d/%d · %s","Lv %d/%d · %s"
"%s — %d/%d cidades abertas.","%s — %d/%d cidades abertas.","%s — %d/%d cities open.","%s — %d/%d ciudades abiertas.","%s — %d/%d villes ouvertes.","%s — %d/%d Städte offen.","%s — %d/%d città aperte.","%s — %d/%d городов открыто.","%s — %d/%d 都市開放。","%s — 已开设 %d/%d 座城市。"
"Próxima: %s","Próxima: %s","Next: %s","Siguiente: %s","Prochaine : %s","Nächste: %s","Prossima: %s","Далее: %s","次：%s","下一个：%s"
"Abre todas as cidades de %s primeiro.","Abre todas as cidades de %s primeiro.","Open all of %s's cities first.","Abre primero todas las ciudades de %s.","Ouvrez d'abord toutes les villes de %s.","Öffne zuerst alle Städte von %s.","Apri prima tutte le città di %s.","Сначала открой все города страны %s.","まず %s のすべての都市を開放。","请先开设 %s 的所有城市。"
"Seguinte: %s (+Influência)","Seguinte: %s (+Influência)","Next: %s (+Influence)","Siguiente: %s (+Influencia)","Suivant : %s (+Influence)","Weiter: %s (+Einfluss)","Successivo: %s (+Influenza)","Далее: %s (+Влияние)","次：%s（+影響力）","下一个：%s（+影响力）"
"Tier: %s · Prestige #%d · ×%.2f
Reinicias mantendo gemas e conquistas.","Tier: %s · Prestige #%d · ×%.2f
Reinicias mantendo gemas e conquistas.","Tier: %s · Prestige #%d · ×%.2f
You reset keeping gems and achievements.","Nivel: %s · Prestigio #%d · ×%.2f
Reinicias conservando gemas y logros.","Palier : %s · Prestige n°%d · ×%.2f
Vous réinitialisez en gardant gemmes et succès.","Tier: %s · Prestige #%d · ×%.2f
Du setzt zurück, behältst Edelsteine und Erfolge.","Tier: %s · Prestigio #%d · ×%.2f
Riparti mantenendo gemme e obiettivi.","Уровень: %s · Престиж #%d · ×%.2f
Перезапуск с сохранением гемов и достижений.","ティア：%s · プレステージ #%d · ×%.2f
ジェムと実績を保持してリスタート。","等级：%s · 转生 #%d · ×%.2f
重置后保留宝石和成就。"
"Chega ao 5.º país para fazer prestige.
Tier: %s · Prestige %d · ×%.2f","Chega ao 5.º país para fazer prestige.
Tier: %s · Prestige %d · ×%.2f","Reach the 5th country to prestige.
Tier: %s · Prestige %d · ×%.2f","Llega al 5.º país para hacer prestigio.
Nivel: %s · Prestigio %d · ×%.2f","Atteignez le 5e pays pour faire prestige.
Palier : %s · Prestige %d · ×%.2f","Erreiche das 5. Land für Prestige.
Tier: %s · Prestige %d · ×%.2f","Raggiungi il 5º paese per fare prestigio.
Tier: %s · Prestigio %d · ×%.2f","Достигни 5-й страны для престижа.
Уровень: %s · Престиж %d · ×%.2f","5番目の国に到達でプレステージ可能。
ティア：%s · プレステージ %d · ×%.2f","到达第5个国家即可转生。
等级：%s · 转生 %d · ×%.2f"
"Bem-vindo a %s!","Bem-vindo a %s!","Welcome to %s!","¡Bienvenido a %s!","Bienvenue à %s !","Willkommen in %s!","Benvenuto in %s!","Добро пожаловать в %s!","%s へようこそ！","欢迎来到 %s！"
"Nova marca: %s/s!","Nova marca: %s/s!","New milestone: %s/s!","¡Nueva marca: %s/s!","Nouveau cap : %s/s !","Neue Marke: %s/s!","Nuovo traguardo: %s/s!","Новый рекорд: %s/с!","新記録：%s/s！","新里程碑：%s/s！"
"Streak: %d dias consecutivos!","Streak: %d dias consecutivos!","Streak: %d days in a row!","¡Racha: %d días seguidos!","Série : %d jours d'affilée !","Streak: %d Tage in Folge!","Streak: %d giorni di fila!","Серия: %d дней подряд!","連続 %d 日達成！","连续：%d 天不间断！"
"Vais ganhar  %d  Gemas Prestige
e um multiplicador ×%.2f permanente.

Perdes créditos, drones e upgrades.
Mantens gemas normais e conquistas.","Vais ganhar  %d  Gemas Prestige
e um multiplicador ×%.2f permanente.

Perdes créditos, drones e upgrades.
Mantens gemas normais e conquistas.","You'll earn  %d  Prestige Gems
and a permanent ×%.2f multiplier.

You lose credits, drones and upgrades.
You keep regular gems and achievements.","Ganarás  %d  Gemas de Prestigio
y un multiplicador ×%.2f permanente.

Pierdes créditos, drones y mejoras.
Conservas gemas normales y logros.","Vous allez gagner  %d  Gemmes de Prestige
et un multiplicateur ×%.2f permanent.

Vous perdez crédits, drones et améliorations.
Vous gardez gemmes normales et succès.","Du erhältst  %d  Prestige-Edelsteine
und einen dauerhaften ×%.2f Multiplikator.

Du verlierst Credits, Drohnen und Upgrades.
Du behältst normale Edelsteine und Erfolge.","Otterrai  %d  Gemme Prestigio
e un moltiplicatore ×%.2f permanente.

Perdi crediti, droni e potenziamenti.
Mantieni gemme normali e obiettivi.","Ты получишь  %d  гемов престижа
и постоянный множитель ×%.2f.

Ты теряешь кредиты, дронов и улучшения.
Сохраняешь обычные гемы и достижения.","プレステージジェム  %d  個と
永続倍率 ×%.2f を獲得。

クレジット、ドローン、アップグレードを失います。
通常のジェムと実績は保持されます。","你将获得  %d  枚转生宝石
和永久 ×%.2f 乘数。

你会失去信用点、无人机和升级。
保留普通宝石和成就。"
"Os drones entregaram durante %s:","Os drones entregaram durante %s:","Your drones delivered for %s:","Tus drones entregaron durante %s:","Vos drones ont livré pendant %s :","Deine Drohnen lieferten %s lang:","I tuoi droni hanno consegnato per %s:","Дроны доставляли за %s:","%s の間、ドローンが配達しました：","你的无人机在 %s 内送达："
"Entregas: %s  ·  Ganhos: %s
Rendimento: %s/s  ·  Combo: %d
Drones: %d  ·  Países: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Conquistas: %d/%d","Entregas: %s  ·  Ganhos: %s
Rendimento: %s/s  ·  Combo: %d
Drones: %d  ·  Países: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Conquistas: %d/%d","Deliveries: %s  ·  Earned: %s
Income: %s/s  ·  Combo: %d
Drones: %d  ·  Countries: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Achievements: %d/%d","Entregas: %s  ·  Ganado: %s
Ingresos: %s/s  ·  Combo: %d
Drones: %d  ·  Países: %d/%d  ·  Racha: %dd
Prestigio: %d  ·  Logros: %d/%d","Livraisons : %s  ·  Gains : %s
Revenu : %s/s  ·  Combo : %d
Drones : %d  ·  Pays : %d/%d  ·  Série : %dj
Prestige : %d  ·  Succès : %d/%d","Lieferungen: %s  ·  Verdient: %s
Einkommen: %s/s  ·  Combo: %d
Drohnen: %d  ·  Länder: %d/%d  ·  Streak: %dd
Prestige: %d  ·  Erfolge: %d/%d","Consegne: %s  ·  Guadagno: %s
Rendita: %s/s  ·  Combo: %d
Droni: %d  ·  Paesi: %d/%d  ·  Streak: %dg
Prestigio: %d  ·  Obiettivi: %d/%d","Доставки: %s  ·  Заработок: %s
Доход: %s/с  ·  Комбо: %d
Дроны: %d  ·  Страны: %d/%d  ·  Серия: %dд
Престиж: %d  ·  Достижения: %d/%d","配達：%s  ·  獲得：%s
収益：%s/s  ·  コンボ：%d
ドローン：%d  ·  国：%d/%d  ·  連続：%dd
プレステージ：%d  ·  実績：%d/%d","送达：%s  ·  收入：%s
收益：%s/s  ·  连击：%d
无人机：%d  ·  国家：%d/%d  ·  连续：%d天
转生：%d  ·  成就：%d/%d"
"Nova em %ds","Nova em %ds","New in %ds","Nueva en %ds","Nouvelle dans %ds","Neu in %ds","Nuova tra %ds","Новое через %dс","%d秒後に更新","%d秒后刷新"
"Bronze","Bronze","Bronze","Bronce","Bronze","Bronze","Bronzo","Бронза","ブロンズ","青铜"
"Prata","Prata","Silver","Plata","Argent","Silber","Argento","Серебро","シルバー","白银"
"Ouro","Ouro","Gold","Oro","Or","Gold","Oro","Золото","ゴールド","黄金"
"Platina","Platina","Platinum","Platino","Platine","Platin","Platino","Платина","プラチナ","白金"
"Diamante","Diamante","Diamond","Diamante","Diamant","Diamant","Diamante","Алмаз","ダイヤモンド","钻石"
"Lendário","Lendário","Legendary","Legendario","Légendaire","Legendär","Leggendario","Легенда","レジェンド","传奇"
"Velocidade dos Drones","Velocidade dos Drones","Drone Speed","Velocidad de los drones","Vitesse des drones","Drohnen-Tempo","Velocità dei Droni","Скорость дронов","ドローン速度","无人机速度"
"Capacidade de Carga","Capacidade de Carga","Cargo Capacity","Capacidad de carga","Capacité de charge","Ladekapazität","Capacità di Carico","Грузоподъёмность","積載量","货舱容量"
"Valor da Encomenda","Valor da Encomenda","Package Value","Valor del paquete","Valeur du colis","Paketwert","Valore del Pacco","Стоимость посылки","荷物の価値","包裹价值"
"Rede de Rotas","Rede de Rotas","Route Network","Red de rutas","Réseau de routes","Routennetz","Rete di Rotte","Сеть маршрутов","ルートネットワーク","航线网络"
"Comando Central","Comando Central","Central Command","Mando central","Commandement central","Zentrale","Comando Centrale","Центр управления","中央司令部","中央指挥"
"+6% lucros globais","+6% lucros globais","+6% global profits","+6% ganancias globales","+6% profits globaux","+6% globaler Gewinn","+6% profitti globali","+6% к общей прибыли","全体利益 +6%","+6% 全局利润"
"Rotores Turbo","Rotores Turbo","Turbo Rotors","Rotores turbo","Rotors Turbo","Turbo-Rotoren","Rotori Turbo","Турбо-роторы","ターボローター","涡轮旋翼"
"+4% velocidade","+4% velocidade","+4% speed","+4% velocidad","+4% vitesse","+4% Tempo","+4% velocità","+4% к скорости","速度 +4%","+4% 速度"
"Rotas Premium","Rotas Premium","Premium Routes","Rutas premium","Routes Premium","Premium-Routen","Rotte Premium","Премиум-маршруты","プレミアムルート","高级航线"
"+4% valor","+4% valor","+4% value","+4% valor","+4% valeur","+4% Wert","+4% valore","+4% к стоимости","価値 +4%","+4% 价值"
"Hangar Eficiente","Hangar Eficiente","Efficient Hangar","Hangar eficiente","Hangar efficace","Effizienter Hangar","Hangar Efficiente","Экономичный ангар","効率格納庫","高效机库"
"-2% custo de drones","-2% custo de drones","-2% drone cost","-2% coste de drones","-2% coût des drones","-2% Drohnenkosten","-2% costo droni","-2% к цене дронов","ドローンコスト -2%","-2% 无人机成本"
"Núcleo de Lucro","Núcleo de Lucro","Profit Core","Núcleo de ganancias","Noyau de profit","Gewinnkern","Nucleo di Profitto","Ядро прибыли","利益コア","利润核心"
"+25% lucros GLOBAIS, para sempre.","+25% lucros GLOBAIS, para sempre.","+25% GLOBAL profits, forever.","+25% ganancias GLOBALES, para siempre.","+25% profits GLOBAUX, pour toujours.","+25% GLOBALER Gewinn, für immer.","+25% profitti GLOBALI, per sempre.","+25% к ОБЩЕЙ прибыли, навсегда.","全体利益 +25%、永続。","+25% 全局利润，永久有效。"
"Injeção de Créditos","Injeção de Créditos","Credit Injection","Inyección de créditos","Injection de crédits","Credit-Spritze","Iniezione di Crediti","Вливание кредитов","クレジット注入","信用点注入"
"Ganha já 1 hora de lucros.","Ganha já 1 hora de lucros.","Instantly earn 1 hour of profits.","Gana ya 1 hora de ganancias.","Gagnez 1 heure de profits d'un coup.","Erhalte sofort 1 Stunde Gewinn.","Ottieni subito 1 ora di profitti.","Получи сразу 1 час прибыли.","1時間分の利益を即獲得。","立即获得1小时利润。"
"Salto Temporal 8h","Salto Temporal 8h","8h Time Warp","Salto temporal 8h","Saut temporel 8h","8h Zeitsprung","Salto Temporale 8h","Скачок времени 8ч","8時間タイムワープ","8小时时空跳跃"
"Ganha já 8 horas de lucros.","Ganha já 8 horas de lucros.","Instantly earn 8 hours of profits.","Gana ya 8 horas de ganancias.","Gagnez 8 heures de profits d'un coup.","Erhalte sofort 8 Stunden Gewinn.","Ottieni subito 8 ore di profitti.","Получи сразу 8 часов прибыли.","8時間分の利益を即獲得。","立即获得8小时利润。"
"Salto Temporal 24h","Salto Temporal 24h","24h Time Warp","Salto temporal 24h","Saut temporel 24h","24h Zeitsprung","Salto Temporale 24h","Скачок времени 24ч","24時間タイムワープ","24小时时空跳跃"
